human_gene_id,entrez_id,sysid_id,chromosome_location,gene_type_id,gene_symbol,gene_description,gene_synonyms,omim_id,ensembl_id,hprd_id,hgnc_id,hpsd,human_gene_remark
937,696,NULL,6p22.2,1,BTN1A1,"butyrophilin subfamily 1 member A1","BT, BTN, BTN1",601610,ENSG00000124557,03365,1135,0,NULL
938,343413,NULL,1q23.2,1,FCRL6,"Fc receptor like 6",FcRH6,613562,ENSG00000181036,14177,31910,0,NULL
939,93100,NULL,8q24.3,1,NAPRT,"nicotinate phosphoribosyltransferase","NAPRT1, PP3856",611552,ENSG00000147813,15161,30450,0,NULL
940,152006,NULL,9p13.2,1,RNF38,"ring finger protein 38",-,612488,ENSG00000137075,11519,18052,0,NULL
941,6342,NULL,1p32.3,1,SCP2,"sterol carrier protein 2","NLTP, NSL-TP, SCOX, SCP-2, SCP-CHI, SCP-X, SCPX",184755,ENSG00000116171,01700,10606,0,NULL
942,29072,SysID_0741,3p21.31,1,SETD2,"SET domain containing 2, histone lysine methyltransferase","HBP231, HIF-1, HIP-1, HSPC069, HYPB, KMT3A, LLS, SET2, p231HBP",612778,ENSG00000181555,11043,18420,0,
943,27352,NULL,22q13.1,1,SGSM3,"small G protein signaling modulator 3","CIP85, MAP, RABGAP5, RUSC3, RUTBC3, RabGAP-5, rabGAPLP",610440,ENSG00000100359,15285,25228,0,NULL
944,79718,NULL,3q26.32,1,TBL1XR1,"TBL1X receptor 1","C21, DC42, IRA1, MRD41, TBLR1",608628,ENSG00000177565,15476,29529,0,
945,111,NULL,3q21.1,1,ADCY5,"adenylate cyclase 5","AC5, FDFM",600293,ENSG00000173175,08973,236,0,NULL
946,22854,NULL,1p13.3,1,NTNG1,"netrin G1",Lmnt1,608818,ENSG00000162631,16389,23319,0,NULL
947,6305,NULL,22q13.33,1,SBF1,"SET binding factor 1","CMT4B3, DENND7A, MTMR5",603560,ENSG00000100241,06788,10542,1,NULL
948,9690,NULL,7q36.3,1,UBE3C,"ubiquitin protein ligase E3C",HECTH2,614454,ENSG00000009335,15604,16803,1,NULL
949,2861,NULL,7q31.33,1,GPR37,"G protein-coupled receptor 37","EDNRBL, PAELR, hET(B)R-LP",602583,ENSG00000170775,03992,4494,0,
950,5071,NULL,6q26,1,PRKN,"parkin RBR E3 ubiquitin protein ligase","AR-JP, LPRS2, PARK2, PDJ",602544,ENSG00000185345,03967,8607,0,NULL
951,81704,NULL,9p24.3,1,DOCK8,"dedicator of cytokinesis 8","HEL-205, MRD2, ZIR8",611432,ENSG00000107099,10920,19191,0,NULL
952,84623,NULL,11q24.2,1,KIRREL3,"kirre like nephrin family adhesion molecule 3","KIRRE, MRD4, NEPH2, PRO4502",607761,ENSG00000149571,09679,23204,0,NULL
953,10369,NULL,22q12.3,1,CACNG2,"calcium voltage-gated channel auxiliary subunit gamma 2",MRD10,602911,ENSG00000166862,04220,1406,0,
954,2036,NULL,20q11.23,1,EPB41L1,"erythrocyte membrane protein band 4.1 like 1","4.1N, MRD11",602879,ENSG00000088367,04193,3378,1,NULL
956,3192,NULL,1q44,1,HNRNPU,"heterogeneous nuclear ribonucleoprotein U","DEE54, EIEE54, GRIP120, HNRNPU-AS1, HNRPU, SAF-A, SAFA, U21.1, hnRNP U, pp120",602869,ENSG00000153187,04185,5048,0,
957,53942,NULL,11q22.1,1,CNTN5,"contactin 5","HNB-2s, NB-2",607219,ENSG00000149972,06241,2175,0,NULL
958,9829,NULL,1p31.3,1,DNAJC6,"DnaJ heat shock protein family (Hsp40) member C6","DJC6, PARK19",608375,ENSG00000116675,16326,15469,1,NULL
959,2560,NULL,4p12,1,GABRB1,"gamma-aminobutyric acid type A receptor subunit beta1","DEE45, EIEE45",137190,ENSG00000163288,15924,4081,0,NULL
960,3187,NULL,5q35.3,1,HNRNPH1,"heterogeneous nuclear ribonucleoprotein H1","HNRPH, HNRPH1, hnRNPH",601035,ENSG00000169045,03021,5041,0,
962,9024,NULL,11p15.5,1,BRSK2,"BR serine/threonine kinase 2","C11orf7, PEN11B, SAD1, SADA, STK29",609236,ENSG00000174672,NULL,11405,0,
963,54014,NULL,21q22.2,1,BRWD1,"bromodomain and WD repeat domain containing 1","C21orf107, DCAF19, N143, WDR9, WRD9",617824,ENSG00000185658,11683,12760,0,NULL
964,776,NULL,3p21.1,1,CACNA1D,"calcium voltage-gated channel subunit alpha1 D","CACH3, CACN4, CACNL1A2, CCHL1A2, Cav1.3, PASNA, SANDD",114206,ENSG00000157388,00247,1391,0,
965,777,NULL,1q25.3,1,CACNA1E,"calcium voltage-gated channel subunit alpha1 E","BII, CACH6, CACNL1A6, Cav2.3, DEE69, EIEE69, gm139",601013,ENSG00000198216,03006,1392,0,
966,9578,NULL,14q32.32,1,CDC42BPB,"CDC42 binding protein kinase beta",MRCKB,614062,ENSG00000198752,08516,1738,1,
967,4850,NULL,7q33,1,CNOT4,"CCR4-NOT transcription complex subunit 4","CLONE243, NOT4, NOT4H",604911,ENSG00000080802,05369,7880,0,NULL
968,26267,NULL,9p13.2,1,FBXO10,"F-box protein 10","FBX10, PRMT11",609092,ENSG00000256966,NULL,13589,0,NULL
969,2873,NULL,17q25.3,1,GPS1,"G protein pathway suppressor 1","COPS1, CSN1, SGN1",601934,ENSG00000169727,15991,4549,0,NULL
970,4193,NULL,12q15,1,MDM2,"MDM2 proto-oncogene","ACTFS, HDMX, LSKB, hdm2",164785,ENSG00000135679,01272,6973,0,NULL
971,4929,NULL,2q24.1,1,NR4A2,"nuclear receptor subfamily 4 group A member 2","HZF-3, NOT, NURR1, RNR1, TINUR",601828,ENSG00000153234,03493,7981,0,
972,56131,NULL,5q31.3,1,PCDHB4,"protocadherin beta 4",PCDH-BETA4,606330,ENSG00000081818,07559,8689,0,NULL
973,5133,NULL,2q37.3,1,PDCD1,"programmed cell death 1","CD279, PD-1, PD1, SLEB2, hPD-1, hPD-l, hSLE1",600244,ENSG00000188389,02590,8760,0,NULL
974,5796,NULL,6q22.33,1,PTPRK,"protein tyrosine phosphatase receptor type K",R-PTP-kappa,602545,ENSG00000152894,03968,9674,0,NULL
975,56963,NULL,15q26.1,1,RGMA,"repulsive guidance molecule BMP co-receptor a",RGM,607362,ENSG00000182175,09560,30308,0,NULL
976,8658,NULL,8p23.1,1,TNKS,tankyrase,"ARTD5, PARP-5a, PARP5A, PARPL, TIN1, TINF1, TNKS1, pART5",603303,ENSG00000173273,04490,11941,0,NULL
977,147923,NULL,19q13.12,1,ZNF420,"zinc finger protein 420",APAK,617216,ENSG00000197050,08122,20649,0,NULL
978,9958,NULL,12q14.1,1,USP15,"ubiquitin specific peptidase 15","UNPH-2, UNPH4",604731,ENSG00000135655,05293,12613,1,NULL
979,1139,NULL,15q13.3,1,CHRNA7,"cholinergic receptor nicotinic alpha 7 subunit","CHRNA7-2, NACHRA7",118511,ENSG00000175344,00339,1960,0,NULL
980,85445,NULL,16q23.1,1,CNTNAP4,"contactin associated protein family member 4",CASPR4,610518,ENSG00000152910,13079,18747,0,NULL
981,1500,NULL,11q12.1,1,CTNND1,"catenin delta 1","BCDS2, CAS, CTNND, P120CAS, P120CTN, p120, p120(CAS), p120(CTN)",601045,ENSG00000198561,03026,2515,1,
982,6911,NULL,16p11.2,1,TBX6,"T-box transcription factor 6",SCDO5,602427,ENSG00000149922,03888,11605,0,NULL
983,5277,SysID_0711,Xp22.2,1,PIGA,"phosphatidylinositol glycan anchor biosynthesis class A","GPI3, MCAHS2, PIG-A, PNH1",311770,ENSG00000165195,02410,8957,0,
984,8239,SysID_0657,Xp11.4,1,USP9X,"ubiquitin specific peptidase 9 X-linked","DFFRX, FAF, FAM, MRX99, MRXS99F",300072,ENSG00000124486,02091,12632,1,NULL
985,93210,SysID_0658,17q12,1,PGAP3,"post-GPI attachment to proteins phospholipase 3","AGLA546, CAB2, PERLD1, PP1498, hCOS16",611801,ENSG00000161395,15118,23719,0,NULL
986,5859,SysID_0659,3p21.31,1,QARS1,"glutaminyl-tRNA synthetase 1","GLNRS, MSCCA, PRO2195, QARS",603727,ENSG00000172053,07223,9751,1,NULL
987,1788,SysID_0660,2p23.3,1,DNMT3A,"DNA methyltransferase 3 alpha","DNMT3A2, HESJAS, M.HsaIIIA, TBRS",602769,ENSG00000119772,04141,2978,0,NULL
988,124512,SysID_0661,17q25.1,1,METTL23,"methyltransferase like 23","C17orf95, MRT44",615262,ENSG00000181038,NULL,26988,0,NULL
989,79791,SysID_0662,16q24.2,1,FBXO31,"F-box protein 31","FBX14, FBXO14, Fbx31, MRT45, pp2386",609102,ENSG00000103264,10954,16510,0,
995,84197,SysID_0663,8p11.21,1,POMK,"protein O-mannose kinase","MDDGA12, MDDGC12, SGK196",615247,ENSG00000185900,08668,26267,0,NULL
996,763,SysID_0664,16q24.2,1,CA5A,"carbonic anhydrase 5A","CA5, CA5AD, CAV, CAVA, GS1-21A4.1",114761,ENSG00000174990,00262,1377,0,
997,91574,SysID_0665,12q24.31,1,MTRFR,"mitochondrial translation release factor in rescue","C12orf65, COXPD7, SPG55",613541,ENSG00000130921,08791,26784,0,NULL
1000,93587,SysID_0666,4q23,1,TRMT10A,"tRNA methyltransferase 10A","HEL-S-88, MSSGM, MSSGM1, RG9MTD2, TRM10",616013,ENSG00000145331,15241,28403,0,NULL
1002,2146,SysID_0668,7q36.1,1,EZH2,"enhancer of zeste 2 polycomb repressive complex 2 subunit","ENX-1, ENX1, EZH2b, KMT6, KMT6A, WVS, WVS2",601573,ENSG00000106462,03342,3527,0,NULL
1003,64135,SysID_0669,2q24.2,1,IFIH1,"interferon induced with helicase C domain 1","AGS7, Hlcd, IDDM19, MDA-5, MDA5, RLR-2, SGMRT1",606951,ENSG00000115267,09507,18873,0,NULL
1004,348980,SysID_0670,5p12,1,HCN1,"hyperpolarization activated cyclic nucleotide gated potassium channel 1","BCNG-1, BCNG1, DEE24, EIEE24, GEFSP10, HAC-2",602780,ENSG00000164588,09099,4845,0,
1005,284111,SysID_0671,17p13.1,1,SLC13A5,"solute carrier family 13 member 5","DEE25, EIEE25, INDY, NACT, mIndy",608305,ENSG00000141485,10512,23089,0,NULL
1006,5238,SysID_0672,6q14.1,1,PGM3,"phosphoglucomutase 3","AGM1, IMD23, PAGM, PGM 3",172100,ENSG00000013375,01390,8907,0,NULL
1007,10586,SysID_0673,4q31.3,1,MAB21L2,"mab-21 like 2","MCOPS14, MCSKS14",604357,ENSG00000181541,05075,6758,0,NULL
1008,51134,SysID_0674,12q22,1,CEP83,"centrosomal protein 83","CCDC41, NPHP18, NY-REN-58",615847,ENSG00000173588,14869,17966,0,NULL
1009,85440,SysID_0675,1p31.3,1,DOCK7,"dedicator of cytokinesis 7","DEE23, EIEE23, ZIR2",615730,ENSG00000116641,16833,19190,0,NULL
1010,27245,SysID_0676,1p36.11-p35.3,1,AHDC1,"AT-hook DNA binding motif containing 1","MRD25, XIGIS",615790,ENSG00000126705,10885,25230,0,NULL
1011,7280,SysID_0677,6p25.2,1,TUBB2A,"tubulin beta 2A class IIa","CDCBM5, TUBB, TUBB2",615101,ENSG00000137267,01852,12412,1,NULL
1012,3149,SysID_0678,Xq28,1,HMGB3,"high mobility group box 3","HMG-2a, HMG-4, HMG2A, HMG4",300193,ENSG00000029993,02181,5004,0,
1013,24137,SysID_0679,Xq13.1,1,KIF4A,"kinesin family member 4A","KIF4, KIF4G1, MRX100",300521,ENSG00000090889,06606,13339,0,NULL
1014,80055,SysID_0680,2q33.1,1,PGAP1,"post-GPI attachment to proteins inositol deacylase 1","Bst1, ISPD3024, MRT42, SPG67",611655,ENSG00000197121,10147,25712,0,NULL
1015,10978,SysID_0681,11q12.1,1,CLP1,"cleavage factor polyribonucleotide kinase subunit 1","HEAB, hClp1",608757,ENSG00000172409,16382,16999,0,NULL
1016,1062,SysID_0682,4q24,1,CENPE,"centromere protein E","CENP-E, KIF10, MCPH13, PPP1R61",117143,ENSG00000138778,00316,1856,0,NULL
1017,79848,SysID_0683,8q13.1-q13.2,1,CSPP1,"centrosome and spindle pole associated protein 1","CSPP, CSPP-L, JBTS21",611654,ENSG00000104218,07991,26193,0,NULL
1018,25977,SysID_0684,12p13.31,1,NECAP1,"NECAP endocytosis associated 1","DEE21, EIEE21",611623,ENSG00000089818,14819,24539,0,NULL
1019,6695,NULL,5q31.2,1,SPOCK1,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1","SPOCK, TESTICAN, TIC1",602264,ENSG00000152377,11887,11251,0,NULL
1020,203228,NULL,9p21.2,1,C9orf72,"C9orf72-SMCR8 complex subunit","ALSFTD, DENND9, DENNL72, FTDALS, FTDALS1",614260,ENSG00000147894,12975,28337,0,NULL
1021,63895,NULL,18p11.22-p11.21,1,PIEZO2,"piezo type mechanosensitive ion channel component 2","C18orf30, C18orf58, DA3, DA5, DAIPT, FAM38B, FAM38B2, HsT748, HsT771, MWKS",613629,ENSG00000154864,07636,26270,0,
1022,93664,NULL,7q31.32,1,CADPS2,"calcium dependent secretion activator 2",CAPS2,609978,ENSG00000081803,12996,16018,0,NULL
1023,783,NULL,10p12.33-p12.31,1,CACNB2,"calcium voltage-gated channel auxiliary subunit beta 2","CAB2, CACNLB2, CAVB2, MYSB",600003,ENSG00000165995,02473,1402,0,NULL
1024,6664,SysID_1278,2p25.2,1,SOX11,"SRY-box transcription factor 11","CSS9, MRD27",600898,ENSG00000176887,02940,11191,0,
1025,56776,SysID_0685,1q43,1,FMN2,"formin 2",-,606373,ENSG00000155816,10449,14074,1,NULL
1026,84942,SysID_0686,15q25.2,1,WDR73,"WD repeat domain 73","GAMOS, GAMOS1, HSPC264",616144,ENSG00000177082,08608,25928,0,
1027,150468,SysID_0687,2q14.1,1,CKAP2L,"cytoskeleton associated protein 2 like",-,616174,ENSG00000169607,08285,26877,0,
1028,57231,SysID_0688,6q14.3,1,SNX14,"sorting nexin 14","RGS-PX2, SCAR20",616105,ENSG00000135317,11590,14977,0,
1029,84188,SysID_0689,11p15.3,1,FAR1,"fatty acyl-CoA reductase 1","MLSTD2, PFCRD, SDR10E1",616107,ENSG00000197601,14724,26222,0,
1030,57688,SysID_0690,5q12.1,1,ZSWIM6,"zinc finger SWIM-type containing 6","AFND, NEDMAGA",615951,ENSG00000130449,NULL,29316,0,
1031,3756,SysID_0691,1q32.2,1,KCNH1,"potassium voltage-gated channel subfamily H member 1","EAG, EAG1, Kv10.1, TMBTS, ZLS1, h-eag, hEAG, hEAG1",603305,ENSG00000143473,04492,6250,0,
1032,10771,SysID_0692,10p15.3,1,ZMYND11,"zinc finger MYND-type containing 11","BRAM1, BS69, MRD30",608668,ENSG00000015171,09830,16966,0,
1033,26137,SysID_0693,3q13.31,1,ZBTB20,"zinc finger and BTB domain containing 20","DPZF, HOF, ODA-8S, PRIMS, ZNF288",606025,ENSG00000181722,05822,13503,0,
1034,547,SysID_0694,2q37.3,1,KIF1A,"kinesin family member 1A","ATSV, C2orf20, HSN2C, MRD9, NESCAVS, SPG30, UNC104",601255,ENSG00000130294,03156,888,1,
1035,54941,SysID_0695,18q12.1,1,RNF125,"ring finger protein 125","TNORS, TRAC-1, TRAC1",610432,ENSG00000101695,11500,21150,0,
1036,6786,SysID_0696,11p15.4,1,STIM1,"stromal interaction molecule 1","D11S4896E, GOK, IMD10, STRMK, TAM, TAM1",605921,ENSG00000167323,05803,11386,0,
1037,81857,SysID_0697,19q13.33,1,MED25,"mediator complex subunit 25","ACID1, ARC92, BVSYS, CMT2B2, P78, PTOV2, TCBAP0758",610197,ENSG00000104973,14380,28845,0,
1038,51741,SysID_0698,16q23.1-q23.2,1,WWOX,"WW domain containing oxidoreductase","D16S432E, DEE28, EIEE28, FOR, FRA16D, HHCMA56, PRO0128, SCAR12, SDR41C1, WOX1",605131,ENSG00000186153,05501,12799,0,
1039,6942,SysID_0699,22q13.2|22q13.3,1,TCF20,"transcription factor 20","AR1, DDVIBA, SPBP, TCF-20",603107,ENSG00000100207,04378,11631,0,
1040,9757,SysID_0700,19q13.12,1,KMT2B,"lysine methyltransferase 2B","CXXC10, DYT28, HRX2, MLL1B, MLL2, MLL4, TRX2, WBP-7, WBP7",606834,ENSG00000272333,06017,15840,0,
1041,55691,SysID_0701,10p13,1,FRMD4A,"FERM domain containing 4A","CCAFCA, FRMD4, bA295P9.4",616305,ENSG00000151474,13553,25491,0,
1042,1759,SysID_0702,9q34.11,1,DNM1,"dynamin 1","DEE31, DNM, EIEE31",602377,ENSG00000106976,03851,2972,1,
1043,23126,SysID_0704,1q21.3,1,POGZ,"pogo transposable element derived with ZNF domain","MRD37, WHSUS, ZNF280E, ZNF635, ZNF635m",614787,ENSG00000143442,11445,18801,0,
1044,83473,SysID_0705,18q21.1,1,KATNAL2,"katanin catalytic subunit A1 like 2",-,614697,ENSG00000167216,13754,25387,0,
1045,10087,SysID_0706,5q13.3,1,CERT1,"ceramide transporter 1","CERT, CERTL, COL4A3BP, GPBP, MRD34, STARD11",604677,ENSG00000113163,05246,2205,0,
1047,1654,SysID_0708,Xp11.4,1,DDX3X,"DEAD-box helicase 3 X-linked","CAP-Rf, DBX, DDX14, DDX3, HLP2, MRX102, MRXSSB",300160,ENSG00000215301,02154,2745,1,
1048,5813,SysID_0709,5q31.3,1,PURA,"purine rich element binding protein A","MRD31, PUR-ALPHA, PUR1, PURALPHA",600473,ENSG00000185129,02721,9701,1,
1049,2823,NULL,4q34.2,1,GPM6A,"glycoprotein M6A","GPM6, M6A",601275,ENSG00000150625,03174,4460,0,
1050,10718,NULL,10q23.1,1,NRG3,"neuregulin 3","HRG3, pro-NRG3",605533,ENSG00000185737,16115,7999,0,
1051,26052,NULL,1q24.3,1,DNM3,"dynamin 3","Dyna III",611445,ENSG00000197959,13241,29125,1,
1052,23191,NULL,15q11.2,1,CYFIP1,"cytoplasmic FMR1 interacting protein 1","P140SRA-1, SHYC, SRA-1, SRA1",606322,ENSG00000273749,05890,13759,1,
1053,1501,NULL,5p15.2,1,CTNND2,"catenin delta 2","GT24, NPRAP",604275,ENSG00000169862,09181,2516,1,
1054,51385,NULL,3p21.31,1,ZNF589,"zinc finger protein 589",SZF1,616702,ENSG00000164048,15865,16747,0,
1055,55733,NULL,1q32.2,1,HHAT,"hedgehog acyltransferase","MART2, NNMS, SKI1, Skn",605743,ENSG00000054392,12041,18270,0,
1056,6616,NULL,20p12.2,1,SNAP25,"synaptosome associated protein 25","CMS18, RIC-4, RIC4, SEC9, SNAP, SNAP-25, SUP, bA416N4.2, dJ1068F16.2",600322,ENSG00000132639,02637,11132,1,
1057,9568,NULL,9q22.33,1,GABBR2,"gamma-aminobutyric acid type B receptor subunit 2","DEE59, EIEE59, GABABR2, GPR51, GPRC3B, HG20, HRIHFB2099, NDPLHS",607340,ENSG00000136928,09552,4507,1,
1058,6263,SysID_1720,15q13.3-q14,1,RYR3,"ryanodine receptor 3",RYR-3,180903,ENSG00000198838,01620,10485,0,
1059,1826,NULL,21q22.2,1,DSCAM,"DS cell adhesion molecule","CHD2, CHD2-42, CHD2-52",602523,ENSG00000171587,03953,3039,0,
1060,23112,NULL,22q13.1,1,TNRC6B,"trinucleotide repeat containing adaptor 6B",GDSBA,610740,ENSG00000100354,NULL,29190,0,
1061,10765,SysID_1505,1q32.1,1,KDM5B,"lysine demethylase 5B","CT31, JARID1B, MRT65, PLU-1, PLU1, PPP1R98, PUT1, RBBP2H1A, RBP2-H1",605393,ENSG00000117139,09251,18039,0,
1062,64599,NULL,7q22.1,1,GIGYF1,"GRB10 interacting GYF protein 1","GYF1, PERQ1",612064,ENSG00000146830,10145,9126,0,
1063,6934,NULL,10q25.2-q25.3,1,TCF7L2,"transcription factor 7 like 2","TCF-4, TCF4",602228,ENSG00000148737,03751,11641,0,
1064,349075,NULL,7p11.2,1,ZNF713,"zinc finger protein 713",-,616181,ENSG00000178665,13440,22043,0,
1065,7703,SysID_1224,17q12,1,PCGF2,"polycomb group ring finger 2","MEL-18, RNF110, TPFS, ZNF144",600346,ENSG00000277258,10621,12929,0,
1066,7430,NULL,6q25.3,1,EZR,ezrin,"CVIL, CVL, HEL-S-105, VIL2",123900,ENSG00000092820,00475,12691,1,
1067,79731,SysID_0743,11q14.1,1,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial","DFNB94, SLM5, asnRS",612803,ENSG00000137513,08026,26274,0,
1068,6809,NULL,11q12.1,1,STX3,"syntaxin 3",STX3A,600876,ENSG00000166900,15985,11438,0,
1069,5518,SysID_0710,19q13.41,1,PPP2R1A,"protein phosphatase 2 scaffold subunit Aalpha","MRD36, PP2A-Aalpha, PP2AA, PP2AAALPHA, PR65A",605983,ENSG00000105568,16184,9302,1,
1070,1801,SysID_0714,17p13.3,1,DPH1,"diphthamide biosynthesis 1","DEDSSH, DPH2L, DPH2L1, OVCA1",603527,ENSG00000108963,04634,3003,0,
1071,5528,SysID_0715,6p21.1,1,PPP2R5D,"protein phosphatase 2 regulatory subunit B'delta","B56D, B56delta, MRD35",601646,ENSG00000112640,09039,9312,1,
1072,81570,SysID_0716,11q13.4,1,CLPB,"caseinolytic mitochondrial matrix peptidase chaperone subunit B","ANKCLB, HSP78, MEGCANN, MGCA7, SKD3",616254,ENSG00000162129,11560,30664,0,
1073,16,SysID_0717,16q22.1,1,AARS1,"alanyl-tRNA synthetase 1","AARS, CMT2N, DEE29, EIEE29",601065,ENSG00000090861,03042,20,1,
1074,29920,SysID_0718,1q42.12,1,PYCR2,"pyrroline-5-carboxylate reductase 2","HLD10, P5CR2",616406,ENSG00000143811,17939,30262,0,
1075,81609,SysID_0720,1q21.3,1,SNX27,"sorting nexin 27","MRT1, MY014",611541,ENSG00000143376,11591,20073,1,
1076,150094,SysID_0721,21q22.3,1,SIK1,"salt inducible kinase 1","DEE30, MSK, SIK, SIK-1, SIK1B, SNF1LK",605705,ENSG00000142178,09301,11142,0,
1077,10667,SysID_0722,6p25.1,1,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial","COXPD14, FARS1, HSPC320, PheRS, SPG77, mtPheRS",611592,ENSG00000145982,09946,21062,0,
1078,51117,SysID_0723,9q34.11,1,COQ4,"coenzyme Q4","CGI-92, COQ10D7",612898,ENSG00000167113,16741,19693,0,
1079,51651,SysID_0724,17q23.1,1,PTRH2,"peptidyl-tRNA hydrolase 2","BIT1, CFAP37, CGI-147, IMNEPD, PTH, PTH 2, PTH2",608625,ENSG00000141378,12273,24265,0,
1080,7737,SysID_0725,Xq24,1,RNF113A,"ring finger protein 113A","Cwc24, RNF113, TTD5, ZNF183",300951,ENSG00000125352,06760,12974,0,
1081,3763,SysID_0726,21q22.13,1,KCNJ6,"potassium inwardly rectifying channel subfamily J member 6","BIR1, GIRK-2, GIRK2, KATP-2, KATP2, KCNJ7, KIR3.2, KPLBS, hiGIRK2",600877,ENSG00000157542,02929,6267,0,
1082,388662,SysID_0727,1p13.3,1,SLC6A17,"solute carrier family 6 member 17","MRT48, NTT4",610299,ENSG00000197106,18061,31399,0,
1083,526,SysID_0728,8p21.3,1,ATP6V1B2,"ATPase H+ transporting V1 subunit B2","ATP6B1B2, ATP6B2, DOOD, HO57, VATB, VPP3, Vma2, ZLS2",606939,ENSG00000147416,06088,854,1,
1084,6509,SysID_0729,2p14,1,SLC1A4,"solute carrier family 1 member 4","ASCT1, SATT, SPATCCM",600229,ENSG00000115902,02576,10942,0,
1085,84879,SysID_0730,1p34.2,1,MFSD2A,"major facilitator superfamily domain containing 2A","MCPH15, MFSD2, NEDMISBA, NLS1, SLC59A1",614397,ENSG00000168389,07861,25897,0,
1086,23111,SysID_0731,13q13.3,1,SPART,spartin,"SPG20, TAHCCP1",607111,ENSG00000133104,06170,18514,0,
1087,4094,SysID_0732,16q23.2,1,MAF,"MAF bZIP transcription factor","AYGRP, CCA4, CTRCT21, c-MAF",177075,ENSG00000178573,01518,6776,0,
1088,23203,SysID_0733,9q34.3,1,PMPCA,"peptidase, mitochondrial processing subunit alpha","Alpha-MPP, CLA1, CPD3, INPP5E, MAS2, P-55, SCAR2",613036,ENSG00000165688,07500,18667,0,
1089,3737,SysID_0734,1p13.3,1,KCNA2,"potassium voltage-gated channel subfamily A member 2","DEE32, EIEE32, HBK5, HK4, HUKIV, KV1.2, MK2, NGK1, RBK2",176262,ENSG00000177301,01443,6220,0,
1090,7994,SysID_0735,8p11.21,1,KAT6A,"lysine acetyltransferase 6A","ARTHS, MOZ, MRD32, MYST-3, MYST3, RUNXBP2, ZC2HC6A, ZNF220",601408,ENSG00000083168,03244,13013,0,
1091,4212,SysID_0736,15q14,1,MEIS2,"Meis homeobox 2","CPCMR, HsT18361, MRG1",601740,ENSG00000134138,03443,7001,0,
1092,28960,SysID_0737,11q24.2,1,DCPS,"decapping enzyme, scavenger","ARS, DCS1, HINT-5, HINT5, HSL1, HSPC015",610534,ENSG00000110063,16787,29812,0,
1093,1644,SysID_0738,7p12.2-p12.1,1,DDC,"dopa decarboxylase",AADC,107930,ENSG00000132437,00145,2719,0,
1094,84700,NULL,22q12.1,1,MYO18B,"myosin XVIIIB",KFS4,607295,ENSG00000133454,09529,18150,0,
1095,51657,NULL,7q11.23,1,STYXL1,"serine/threonine/tyrosine interacting like 1","DUSP24, MK-STYX, MKSTYX",616695,ENSG00000127952,13256,18165,0,
1096,6857,NULL,12q21.2,1,SYT1,"synaptotagmin 1","BAGOS, P65, SVP65, SYT",185605,ENSG00000067715,01710,11509,1,
1097,5527,NULL,14q32.31,1,PPP2R5C,"protein phosphatase 2 regulatory subunit B'gamma","B56G, B56gamma, PR61G",601645,ENSG00000078304,03385,9311,0,
1098,5526,NULL,11q13.1,1,PPP2R5B,"protein phosphatase 2 regulatory subunit B'beta","B56B, B56beta, PR61B",601644,ENSG00000068971,09038,9310,0,
1099,55640,NULL,14q24.3,1,FLVCR2,"FLVCR heme transporter 2","C14orf58, CCT, EPV, FLVCRL14q, MFSD7C, PVHH, SLC49A2",610865,ENSG00000119686,12654,20105,0,
1100,9628,NULL,14q24.2,1,RGS6,"regulator of G protein signaling 6","GAP, HA117, S914",603894,ENSG00000182732,NULL,10002,0,
1101,8131,NULL,16p13.3,1,NPRL3,"NPR3 like, GATOR1 complex subunit","C16orf35, CGTHBA, FFEVF3, HS-40, MARE, NPR3, RMD11",600928,ENSG00000103148,11866,14124,0,
1102,9900,NULL,1q21.2,1,SV2A,"synaptic vesicle glycoprotein 2A",SV2,185860,ENSG00000159164,08922,20566,1,
1103,84823,NULL,19p13.3,1,LMNB2,"lamin B2","EPM9, LAMB2, LMN2, MCPH27",150341,ENSG00000176619,01037,6638,1,
1104,1363,NULL,4q32.3,1,CPE,"carboxypeptidase E",CPH,114855,ENSG00000109472,00272,2303,0,
1105,22866,SysID_0745,Xp22.12,1,CNKSR2,"connector enhancer of kinase suppressor of Ras 2","CNK2, KSR2, MAGUIN, MRXSHG",300724,ENSG00000149970,06473,19701,0,
1106,9758,SysID_0746,Xp22.2,1,FRMPD4,"FERM and PDZ domain containing 4","MRX104, PDZD10, PDZK10",300838,ENSG00000169933,10011,29007,0,
1107,80311,SysID_0747,Xp22.11,1,KLHL15,"kelch like family member 15",HEL-S-305,300980,ENSG00000174010,NULL,29347,0,
1108,81887,SysID_0748,Xq12,1,LAS1L,"LAS1 like ribosome biogenesis factor","Las1, Las1-like, WTS, dJ475B7.2",300964,ENSG00000001497,06519,25726,0,
1109,51132,SysID_0749,Xq13.2,1,RLIM,"ring finger protein, LIM domain interacting","MRX61, NY-REN-43, RNF12, TOKAS",300379,ENSG00000131263,02304,13429,0,
1110,389856,SysID_0750,Xp11.23,1,USP27X,"ubiquitin specific peptidase 27 X-linked","MRX105, USP22L, USP27",300975,ENSG00000273820,NULL,13486,0,
